nama_series;kode_wilayah;wilayah;tahun;nilai;target
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2005;19.91;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2006;27.22;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2007;38.6;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2008;51.03;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2009;62.62;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2010;66.12;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2011;74.67;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2012;80.69;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2013;84.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2014;84.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;51;Bali;2015;86.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2005;5.32;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2006;11.45;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2007;21.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2008;31.44;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2009;40.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2010;46.49;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2011;55.05;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2012;63.02;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2013;70.25;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2014;75.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;52;Nusa Tenggara Barat;2015;77.47;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2005;1.27;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2006;3.76;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2007;9.37;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2008;18.98;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2009;28.06;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2010;40.54;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2011;44.49;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2012;55.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2013;63.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2014;66.64;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;53;Nusa Tenggara Timur;2015;70.71;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2005;6.29;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2006;10.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2007;26.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2008;39.3;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2009;44.87;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2010;59.9;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2011;72.65;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2012;76.95;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2013;79.68;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2014;82.86;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;61;Kalimantan Barat;2015;80.92;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2005;4.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2006;8.83;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2007;24.68;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2008;39.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2009;49.84;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2010;68.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2011;77.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2012;81.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2013;86.58;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2014;88.56;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;62;Kalimantan Tengah;2015;89.85;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2005;12.22;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2006;19.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2007;33.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2008;52.52;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2009;61.01;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2010;73.9;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2011;80.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2012;84.46;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2013;87.95;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2014;87.45;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;63;Kalimantan Selatan;2015;88.33;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2005;14.82;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2006;28.78;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2007;43.15;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2008;60.89;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2009;70.76;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2010;85.46;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2011;87.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2012;89.43;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2013;92.16;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2014;93.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;64;Kalimantan Timur;2015;93.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2005;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2006;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2007;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2008;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2009;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2010;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2011;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2012;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2013;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2014;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;65;Kalimantan Utara;2015;93.82;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2005;8.41;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2006;11.29;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2007;24.1;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2008;36.19;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2009;48.23;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2010;61.9;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2011;70.06;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2012;76.33;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2013;80.01;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2014;82.81;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;71;Sulawesi Utara;2015;87.15;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2005;3.07;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2006;5.59;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2007;15.93;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2008;32.55;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2009;41.49;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2010;51.05;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2011;61.22;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2012;72.77;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2013;77.1;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2014;77.01;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;72;Sulawesi Tengah;2015;80.9;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2005;7.35;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2006;15.03;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2007;27.94;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2008;44.04;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2009;57.85;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2010;70.2;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2011;73.93;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2012;82.2;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2013;84.89;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2014;87.06;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;73;Sulawesi Selatan;2015;88.25;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2005;3.21;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2006;7.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2007;17.1;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2008;34.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2009;50.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2010;61.3;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2011;68.55;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2012;79.79;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2013;84.64;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2014;85.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;74;Sulawesi Tenggara;2015;88.46;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2005;4.32;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2006;6.86;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2007;19.29;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2008;32.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2009;46.23;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2010;55.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2011;70.8;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2012;77.69;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2013;82.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2014;83.24;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;75;Gorontalo;2015;85.57;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2005;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2006;7.47;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2007;19.7;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2008;34.26;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2009;46.29;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2010;56.67;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2011;65.32;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2012;72.28;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2013;74.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2014;76.16;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;76;Sulawesi Barat;2015;76.25;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2005;2.43;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2006;4.08;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2007;7.44;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2008;18.47;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2009;27.36;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2010;41.63;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2011;48.53;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2012;58.66;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2013;61.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2014;66.64;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;81;Maluku;2015;72.69;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2005;2.3;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2006;4.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2007;11.52;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2008;21.51;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2009;25.87;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2010;39.56;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2011;48.54;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2012;61.38;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2013;68.9;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2014;72.58;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;82;Maluku Utara;2015;74.48;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2005;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2006;6.05;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2007;14.01;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2008;29.44;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2009;32.24;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2010;49.79;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2011;53.56;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2012;56.73;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2013;55.55;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2014;65.14;
